Date,Category,Merchant,Amount
2025-03-01,Rent,Landlord Transfer,-540.06
2025-03-03,Savings,ING Savings,92.47
2025-03-03,Subscriptions,Netflix,-11.33
2025-03-04,Salary,Part-time Bar Job,752.0
2025-03-04,Transport,Cabify,-39.82
2025-03-04,Healthcare,Farmacia,-57.83
2025-03-04,Subscriptions,Spotify,-25.62
2025-03-04,Investments,Crypto Wallet,79.55
2025-03-04,Utilities,GasUnion,-7.27
2025-03-04,Savings,ING Savings,75.52
2025-03-05,Groceries,Mercadona,-48.37
2025-03-06,Savings,ING Savings,43.48
2025-03-07,Utilities,Electric Co,-14.58
2025-03-08,Transport,Renfe,-32.66
2025-03-09,Transport,Cabify,-41.15
2025-03-09,Investments,Stock App,134.31
2025-03-09,Groceries,Carrefour,-40.6
2025-03-09,Utilities,GasUnion,-17.18
2025-03-09,Savings,ING Savings,84.92
2025-03-10,Utilities,Water Inc,-29.42
2025-03-10,Groceries,Mercadona,-6.03
2025-03-10,Savings,ING Savings,29.81
2025-03-11,Utilities,GasUnion,-54.22
2025-03-11,Subscriptions,Spotify,-41.54
2025-03-11,Subscriptions,Spotify,-37.73
2025-03-12,Dining Out,McDonald's,-50.75
2025-03-12,Savings,ING Savings,68.96
2025-03-12,Healthcare,Farmacia,-40.46
2025-03-13,Dining Out,Local Tapas,-43.71
2025-03-13,Savings,ING Savings,88.44
2025-03-13,Investments,Stock App,63.16
2025-03-13,Savings,Vault Transfer,53.28
2025-03-14,Savings,Vault Transfer,27.05
2025-03-14,Transport,Cabify,-21.16
2025-03-14,Subscriptions,HBO Max,-56.72
2025-03-15,Transport,Cabify,-28.15
2025-03-15,Healthcare,Farmacia,-46.52
2025-03-15,Savings,Vault Transfer,71.94
2025-03-15,Investments,Crypto Wallet,32.12
2025-03-15,Subscriptions,Spotify,-48.62
2025-03-16,Groceries,Carrefour,-23.26
2025-03-16,Transport,Renfe,-20.92
2025-03-16,Transport,Renfe,-32.98
2025-03-17,Dining Out,Local Tapas,-52.65
2025-03-17,Transport,Renfe,-58.07
2025-03-18,Savings,ING Savings,38.12
2025-03-19,Groceries,Mercadona,-52.21
2025-03-19,Healthcare,DentalCare,-54.79
2025-03-19,Savings,ING Savings,47.22
2025-03-19,Dining Out,KFC,-29.73
2025-03-19,Dining Out,McDonald's,-22.72
2025-03-19,Dining Out,KFC,-57.96
2025-03-20,Dining Out,Local Tapas,-32.91
2025-03-20,Savings,ING Savings,71.82
2025-03-21,Transport,Cabify,-25.72
2025-03-21,Subscriptions,HBO Max,-34.01
2025-03-21,Dining Out,KFC,-9.61
2025-03-21,Subscriptions,Spotify,-57.95
2025-03-21,Savings,Vault Transfer,74.21
2025-03-22,Dining Out,Local Tapas,-13.42
2025-03-22,Utilities,Electric Co,-23.32
2025-03-22,Investments,Index ETF,85.33
2025-03-23,Groceries,Mercadona,-46.09
2025-03-23,Transport,Cabify,-18.79
2025-03-24,Healthcare,DentalCare,-24.31
2025-03-24,Savings,Vault Transfer,47.12
2025-03-25,Subscriptions,Netflix,-56.31
2025-03-25,Utilities,Electric Co,-26.9
2025-03-26,Healthcare,DentalCare,-51.49
2025-03-26,Utilities,GasUnion,-27.85
2025-03-28,Groceries,Lidl,-16.24
2025-03-28,Dining Out,KFC,-10.04
2025-03-29,Transport,Renfe,-56.41
2025-03-29,Subscriptions,Spotify,-57.05
2025-03-30,Healthcare,VisionPlus,-48.11
2025-03-30,Transport,Renfe,-34.29
2025-03-31,Entertainment,Netflix,-11.7
2025-03-31,Groceries,Mercadona,-32.61
2025-03-31,Savings,ING Savings,69.4
2025-03-31,Savings,ING Savings,30.1
2025-03-31,Groceries,Mercadona,-48.45
2025-04-01,Subscriptions,Netflix,-58.91
2025-04-01,Groceries,Lidl,-48.27
2025-04-01,Utilities,Water Inc,-28.69
2025-04-02,Salary,Part-time Bar Job,785.53
2025-04-02,Transport,Metro BCN,-30.36
2025-04-02,Entertainment,Cinema City,-12.61
2025-04-02,Utilities,Water Inc,-22.19
2025-04-02,Rent,Landlord Transfer,-632.13
2025-04-02,Transport,Metro BCN,-10.65
2025-04-02,Entertainment,Cinema City,-15.46
2025-04-03,Transport,Metro BCN,-30.82
2025-04-03,Utilities,GasUnion,-46.2
2025-04-04,Savings,Vault Transfer,60.71
2025-04-05,Savings,Vault Transfer,95.12
2025-04-05,Investments,Crypto Wallet,34.94
2025-04-06,Savings,ING Savings,49.11
2025-04-06,Utilities,Electric Co,-12.57
2025-04-06,Investments,Crypto Wallet,34.45
2025-04-06,Investments,Crypto Wallet,126.67
2025-04-06,Savings,ING Savings,99.71
2025-04-07,Utilities,GasUnion,-12.23
2025-04-07,Groceries,Mercadona,-48.79
2025-04-08,Investments,Crypto Wallet,103.45
2025-04-08,Transport,Metro BCN,-57.04
2025-04-09,Dining Out,KFC,-41.35
2025-04-09,Investments,Crypto Wallet,22.37
2025-04-09,Groceries,Mercadona,-32.9
2025-04-09,Entertainment,Spotify,-22.36
2025-04-10,Dining Out,Local Tapas,-58.22
2025-04-10,Transport,Cabify,-25.18
2025-04-12,Dining Out,Local Tapas,-45.44
2025-04-13,Transport,Metro BCN,-24.38
2025-04-14,Utilities,GasUnion,-22.56
2025-04-14,Savings,ING Savings,87.78
2025-04-14,Investments,Index ETF,137.77
2025-04-15,Healthcare,Farmacia,-38.39
2025-04-15,Groceries,Mercadona,-38.02
2025-04-15,Utilities,Water Inc,-7.33
2025-04-16,Transport,Cabify,-53.21
2025-04-16,Dining Out,KFC,-29.66
2025-04-17,Groceries,Carrefour,-26.28
2025-04-17,Groceries,Carrefour,-31.43
2025-04-17,Subscriptions,Netflix,-23.75
2025-04-17,Savings,Vault Transfer,23.01
2025-04-17,Subscriptions,Spotify,-45.95
2025-04-17,Groceries,Mercadona,-35.47
2025-04-18,Subscriptions,Netflix,-10.87
2025-04-18,Dining Out,Local Tapas,-34.18
2025-04-19,Dining Out,McDonald's,-20.96
2025-04-19,Utilities,Electric Co,-35.69
2025-04-20,Investments,Crypto Wallet,31.74
2025-04-20,Savings,Vault Transfer,23.63
2025-04-20,Entertainment,Cinema City,-44.83
2025-04-21,Utilities,GasUnion,-28.61
2025-04-21,Groceries,Lidl,-41.92
2025-04-22,Transport,Cabify,-29.07
2025-04-22,Investments,Crypto Wallet,107.1
2025-04-23,Subscriptions,Netflix,-38.39
2025-04-23,Savings,Vault Transfer,94.44
2025-04-24,Utilities,GasUnion,-56.76
2025-04-24,Groceries,Mercadona,-51.6
2025-04-24,Entertainment,Cinema City,-12.9
2025-04-24,Investments,Index ETF,103.98
2025-04-25,Investments,Stock App,132.51
2025-04-25,Healthcare,Farmacia,-46.07
2025-04-26,Savings,ING Savings,91.89
2025-04-26,Savings,Vault Transfer,33.33
2025-04-26,Groceries,Carrefour,-25.38
2025-04-26,Groceries,Carrefour,-9.49
2025-04-26,Utilities,GasUnion,-44.58
2025-04-26,Dining Out,KFC,-44.18
2025-04-26,Transport,Metro BCN,-18.63
2025-04-27,Groceries,Carrefour,-13.44
2025-04-28,Savings,ING Savings,62.08
2025-04-28,Groceries,Mercadona,-34.51
2025-04-28,Subscriptions,HBO Max,-48.66
2025-04-29,Investments,Index ETF,61.49
2025-04-30,Utilities,Electric Co,-42.78
2025-04-30,Subscriptions,Spotify,-22.5
2025-04-30,Utilities,Electric Co,-29.19
2025-04-30,Savings,ING Savings,80.71
2025-04-30,Investments,Index ETF,70.76
2025-05-01,Groceries,Lidl,-29.18
2025-05-01,Transport,Renfe,-55.27
2025-05-01,Savings,ING Savings,55.72
2025-05-03,Rent,Landlord Transfer,-591.33
2025-05-03,Subscriptions,HBO Max,-40.14
2025-05-03,Dining Out,McDonald's,-51.02
2025-05-03,Entertainment,Spotify,-18.02
2025-05-03,Subscriptions,HBO Max,-42.57
2025-05-04,Investments,Stock App,34.18
2025-05-04,Salary,Part-time Bar Job,624.29
2025-05-04,Entertainment,Netflix,-38.28
2025-05-04,Investments,Stock App,122.23
2025-05-05,Subscriptions,Spotify,-46.84
2025-05-06,Dining Out,KFC,-30.62
2025-05-06,Investments,Index ETF,112.48
2025-05-07,Dining Out,Local Tapas,-39.83
2025-05-07,Entertainment,Netflix,-37.39
2025-05-07,Investments,Crypto Wallet,28.8
2025-05-08,Savings,ING Savings,27.78
2025-05-08,Dining Out,KFC,-51.88
2025-05-09,Utilities,GasUnion,-8.57
2025-05-09,Investments,Crypto Wallet,148.59
2025-05-09,Utilities,Water Inc,-35.36
2025-05-10,Healthcare,Farmacia,-50.92
2025-05-10,Investments,Crypto Wallet,80.15
2025-05-10,Healthcare,Farmacia,-39.93
2025-05-11,Entertainment,Netflix,-6.38
2025-05-11,Transport,Cabify,-8.3
2025-05-11,Transport,Renfe,-33.48
2025-05-12,Healthcare,VisionPlus,-22.84
2025-05-12,Utilities,Water Inc,-26.06
2025-05-13,Healthcare,VisionPlus,-16.59
2025-05-13,Groceries,Mercadona,-55.0
2025-05-13,Groceries,Carrefour,-24.4
2025-05-13,Savings,ING Savings,49.43
2025-05-13,Investments,Index ETF,102.15
2025-05-15,Dining Out,KFC,-56.99
2025-05-15,Savings,Vault Transfer,83.71
2025-05-16,Savings,ING Savings,50.69
2025-05-16,Investments,Stock App,62.27
2025-05-17,Investments,Crypto Wallet,78.98
2025-05-17,Transport,Metro BCN,-12.85
